0.309219;0.0102338;0.2;0.0499997;3.06302;4.19913e-05;149;
0.811353;0.0482635;0.2;0.0499997;3.06302;4.19914e-05;151;
0.817853;0.0282404;0.2;0.0499997;3.06302;4.19914e-05;151;
0.844481;0.0259594;0.2;0.0499997;3.06302;4.19914e-05;151;
0.512249;0.0287651;0.2;0.0492672;2.97392;4.4545e-05;153;
0.380143;0.0109929;0.2;0.0473857;2.75112;5.20524e-05;149;
0.637786;0.0409867;0.2;0.0458868;2.57983;5.91941e-05;151;
0.20681;0.042772;0.2;0.0446432;2.44188;6.60706e-05;161;
0.671088;0.0422732;0.2;0.0435818;2.32715;7.27462e-05;151;
0.48735;0.0222396;0.2;0.042657;2.22943;7.92628e-05;151;
0.233453;0.0450532;0.2;0.0418375;2.1446;8.56577e-05;153;
0.540093;0.0312785;0.2;0.0411013;2.06979;9.19616e-05;153;
0.3721;0.0361577;0.2;0.0404334;2.00306;9.81905e-05;155;
0.781431;0.0324834;0.2;0.0398218;1.94293;0.000104363;151;
0.558408;0.023002;0.2;0.0392571;1.88821;0.000110499;151;
0.987221;0.0404055;0.2;0.0387327;1.83811;0.000116605;149;
0.794913;0.0472509;0.2;0.0382428;1.7919;0.000122697;151;
0.566328;0.0353417;0.2;0.0377829;1.74906;0.00012878;153;
0.382162;0.0223289;0.2;0.0373491;1.70913;0.000134867;151;
0.4802;0.0429733;0.2;0.0369383;1.67174;0.000140968;153;
0.209232;0.0410137;0.2;0.0365482;1.63661;0.000147084;155;
0.692139;0.023149;0.2;0.0361765;1.6035;0.000153223;151;
0.73765;0.0396123;0.2;0.0358209;1.57213;0.000159398;151;
0.480226;0.0267243;0.2;0.0354799;1.54233;0.000165616;153;
0.308381;0.0238449;0.2;0.0351524;1.51399;0.000171874;153;
0.264352;0.0148111;0.2;0.0348373;1.48698;0.000178176;151;
0.556086;0.0256;0.2;0.0345329;1.4611;0.000184543;153;
0.315809;0.048514;0.2;0.0342386;1.43631;0.000190969;149;
0.839199;0.0273937;0.2;0.0339535;1.41249;0.000197465;151;
0.569062;0.0154687;0.2;0.0336772;1.38959;0.000204027;151;
0.533636;0.0262209;0.2;0.0334083;1.36749;0.000210674;153;
0.840124;0.0408728;0.2;0.0331467;1.34615;0.000217406;151;
0.511745;0.0461436;0.2;0.0328913;1.32549;0.000224236;151;
0.814057;0.0271307;0.2;0.0326424;1.30551;0.000231153;151;
0.864775;0.0412713;0.2;0.0323993;1.28613;0.000238171;151;
0.444049;0.0455724;0.2;0.032161;1.26729;0.000245307;151;
0.39522;0.0319694;0.2;0.0319278;1.24897;0.000252553;155;
0.598857;0.0218114;0.2;0.0316991;1.23115;0.00025992;153;
0.786093;0.0423907;0.2;0.0314743;1.21375;0.000267426;151;
0.754101;0.0127753;0.2;0.0312536;1.19678;0.000275062;151;
0.764454;0.0105265;0.2;0.0310365;1.18021;0.00028284;149;
0.929107;0.0213193;0.2;0.0308226;1.164;0.000290772;149;
0.309373;0.0247721;0.2;0.0306117;1.14812;0.000298869;155;
0.327502;0.01929;0.2;0.0304035;1.13256;0.000307138;151;
0.325913;0.0269499;0.2;0.0301982;1.11732;0.000315575;157;
0.226672;0.016896;0.2;0.0299948;1.10232;0.000324222;151;
0.462088;0.0209599;0.2;0.0297942;1.08762;0.000333044;153;
0.400223;0.0334975;0.2;0.0295952;1.07314;0.000342091;155;
0.757827;0.0324953;0.2;0.0293979;1.05888;0.00035137;151;
0.683734;0.0232268;0.2;0.0292024;1.04485;0.000360873;151;
0.354814;0.0318895;0.2;0.0290083;1.031;0.000370627;157;
0.335988;0.0348445;0.2;0.0288155;1.01734;0.000380648;155;
0.536154;0.0476888;0.2;0.0286238;1.00385;0.000390947;149;
0.332472;0.0218864;0.2;0.0284334;0.990542;0.000401525;153;
0.730012;0.0278731;0.2;0.0282432;0.977336;0.000412451;151;
0.645036;0.0239655;0.2;0.0280541;0.964287;0.000423689;151;
0.335947;0.0477441;0.2;0.0278657;0.951378;0.000435263;149;
0.909434;0.0231342;0.2;0.0276771;0.938548;0.000447248;149;
