-7.23594;3.48003;-2;-2;32;4.2226e-12;341;-2;-2;320;4.2226e-13;341;-2;-2;3200;4.2226e-14;341;
1.41451;2.75547;-1.96;-1.96;31.3632;0.00320001;185;0.0100506;0.0100506;79.198;0.808061;187;1.96079;1.96079;0.30751;0.313757;193;
-1.93284;-6.62132;-1.92;-1.92;30.7328;0.0128;185;0.684563;0.684563;34.6075;1.44138;183;1.9805;1.9805;0.076078;0.316887;183;
-2.78265;6.55041;-1.88;-1.88;30.1088;0.0287999;183;1.02267;1.02267;19.1035;1.82731;185;1.98711;1.98711;0.0332379;0.317941;185;
-7.22167;-4.70682;-1.84;-1.84;29.4912;0.0512003;185;1.22581;1.22581;11.9875;2.08116;183;1.99042;1.99042;0.0183473;0.318469;341;
8.67669;-4.85855;-1.8;-1.8;28.88;0.0800006;183;1.36134;1.36134;8.15761;2.25973;183;1.99241;1.99242;0.0115105;0.318787;183;
-5.99435;3.18529;-1.76;-1.76;28.2752;0.1152;185;1.45821;1.45821;5.87065;2.39185;183;1.99374;1.99374;0.00782928;0.319;183;
-7.00971;4.77515;-1.72;-1.72;27.6768;0.1568;183;1.5309;1.5309;4.40117;2.49345;183;1.99469;1.99469;0.00563302;0.319151;183;
0.676564;-4.39444;-1.68;-1.68;27.0848;0.2048;187;1.58744;1.58744;3.40404;2.57395;185;1.9954;1.9954;0.00422328;0.319265;185;
-8.1843;6.39735;-1.64;-1.64;26.4992;0.2592;183;1.63269;1.63269;2.69828;2.63929;183;1.99596;1.99596;0.00326552;0.319354;183;
-6.6109;-4.16505;-1.6;-1.6;25.92;0.32;185;1.66972;1.66972;2.18164;2.69338;183;1.99641;1.9964;0.00258599;0.319425;341;
8.64122;5.76932;-1.56;-1.56;25.3472;0.387199;183;1.70059;1.70059;1.79293;2.73887;183;1.99677;1.99677;0.00209222;0.319483;183;
9.49279;8.86158;-1.52;-1.52;24.7808;0.460798;338;1.72671;1.72671;1.49378;2.77767;341;1.99707;1.99707;0.00171722;0.319531;341;
-4.14784;-9.24237;-1.48;-1.48;24.2208;0.540801;183;1.7491;1.7491;1.25901;2.81115;181;1.99732;1.99733;0.00143172;0.319572;338;
-7.2788;-7.05437;-1.44;-1.44;23.6672;0.6272;185;1.76851;1.76851;1.07179;2.84033;183;1.99755;1.99754;0.00120563;0.319607;183;
-3.5752;9.35253;-1.4;-1.4;23.12;0.720001;338;1.78549;1.78549;0.920299;2.86599;183;1.99773;1.99773;0.00102651;0.319638;183;
-9.65446;-6.31054;-1.36;-1.36;22.5792;0.819199;183;1.80048;1.80048;0.796195;2.88872;338;1.9979;1.9979;0.000881333;0.319664;181;
-4.27758;-1.16087;-1.32;-1.32;22.0448;0.9248;187;1.8138;1.8138;0.69343;2.90901;185;1.99805;1.99805;0.00076239;0.319688;185;
4.71453;-7.42461;-1.28;-1.28;21.5168;1.0368;183;1.82572;1.82572;0.607487;2.92722;183;1.99818;1.99818;0.00066339;0.319709;183;
-4.64719;-0.186961;-1.24;-1.24;20.9952;1.1552;187;1.83645;1.83645;0.534995;2.94366;185;1.9983;1.9983;0.000581171;0.319727;183;
6.36904;-2.10828;-1.2;-1.2;20.48;1.28;183;1.84615;1.84615;0.473375;2.95858;185;1.9984;1.9984;0.000511457;0.319744;185;
5.13694;-1.73405;-1.16;-1.16;19.9712;1.4112;185;1.85498;1.85498;0.420621;2.97217;185;1.9985;1.9985;0.000452203;0.319759;185;
4.74052;-6.4811;-1.12;-1.12;19.4688;1.5488;185;1.86304;1.86304;0.375175;2.98461;183;1.99858;1.99858;0.000402001;0.319773;183;
-1.53641;3.07344;-1.08;-1.08;18.9728;1.6928;185;1.87042;1.87042;0.335794;2.99604;187;1.99866;1.99866;0.000358343;0.319786;187;
9.81172;-7.3102;-1.04;-1.04;18.4832;1.8432;181;1.87722;1.87722;0.30149;3.00657;183;1.99873;1.99873;0.000320515;0.319797;183;
4.73907;1.99103;-1;-1;18;2;185;1.88349;1.88349;0.271469;3.01631;187;1.9988;1.9988;0.000287713;0.319808;187;
-0.693281;-7.57975;-0.96;-0.960001;17.5232;2.1632;185;1.8893;1.88931;0.245067;3.02534;183;1.99886;1.99886;0.000258618;0.319818;183;
1.60671;-4.45487;-0.92;-0.92;17.0528;2.3328;187;1.8947;1.8947;0.221766;3.03374;185;1.99892;1.99892;0.000233964;0.319827;185;
9.17967;2.47574;-0.879999;-0.88;16.5888;2.5088;183;1.89972;1.89972;0.201119;3.04156;183;1.99897;1.99897;0.000211458;0.319836;183;
7.48909;-6.77181;-0.840001;-0.84;16.1312;2.6912;183;1.90441;1.90441;0.182752;3.04888;183;1.99902;1.99902;0.000191724;0.319843;183;
9.05025;8.74993;-0.800001;-0.8;15.68;2.88;183;1.90879;1.90879;0.166371;3.05573;341;1.99907;1.99907;0.000174123;0.319851;183;
-6.87283;8.32065;-0.760002;-0.759999;15.2352;3.0752;183;1.91291;1.91291;0.151707;3.06217;183;1.99911;1.99911;0.000158198;0.319858;183;
7.81644;-1.81896;-0.719998;-0.72;14.7968;3.2768;183;1.91677;1.91677;0.13855;3.06822;185;1.99915;1.99915;0.000144519;0.319864;185;
-1.4667;-5.73286;-0.68;-0.679999;14.3648;3.4848;185;1.9204;1.9204;0.12671;3.07391;183;1.99919;1.99919;0.000131705;0.31987;183;
7.33351;5.77133;-0.64;-0.64;13.9392;3.6992;183;1.92383;1.92383;0.116032;3.07929;185;1.99922;1.99922;0.000120552;0.319876;185;
9.15723;-8.73145;-0.6;-0.6;13.52;3.92;183;1.92707;1.92707;0.106378;3.08437;183;1.99926;1.99926;0.000110263;0.319881;183;
-0.443268;8.03836;-0.56;-0.559998;13.1072;4.14721;183;1.93013;1.93013;0.0976333;3.08919;185;1.99929;1.99929;0.000101078;0.319886;185;
0.239831;1.75247;-0.52;-0.52;12.7008;4.3808;189;1.93303;1.93303;0.089694;3.09375;189;1.99932;1.99932;9.26636e-05;0.319891;189;
-5.1115;-3.76826;-0.48;-0.48;12.3008;4.6208;185;1.93579;1.93578;0.0824703;3.09808;341;1.99935;1.99935;8.5286e-05;0.319896;183;
2.94793;-9.34183;-0.44;-0.44;11.9072;4.8672;183;1.9384;1.9384;0.0758915;3.1022;181;1.99937;1.99938;7.80073e-05;0.3199;181;
-7.2947;-7.48549;-0.399999;-0.399999;11.52;5.12001;183;1.94089;1.94089;0.06989;3.10612;183;1.9994;1.9994;7.21298e-05;0.319904;341;
-9.88256;1.85161;-0.359999;-0.36;11.1392;5.3792;183;1.94326;1.94326;0.0643961;3.10985;181;1.99942;1.99942;6.64572e-05;0.319908;181;
-6.05503;3.41616;-0.32;-0.32;10.7648;5.6448;185;1.94551;1.94551;0.0593742;3.11342;183;1.99945;1.99945;6.09104e-05;0.319912;183;
9.84168;6.56311;-0.280001;-0.28;10.3968;5.9168;183;1.94767;1.94767;0.0547675;3.11682;183;1.99947;1.99947;5.62176e-05;0.319915;183;
-2.17099;-1.65567;-0.24;-0.24;10.0352;6.1952;189;1.94973;1.94973;0.0505397;3.12007;185;1.99949;1.99949;5.19175e-05;0.319918;185;
